ds,y,yhat,yhat_lower,yhat_upper
2014-04-09,288,292.39285198570803,219.50551800343965,374.0911896793064
2014-04-10,259,292.66382479998384,219.89912266271602,367.3576988187436
2014-04-11,282,304.53593758942304,229.60562295282853,377.2355766043916
2014-04-12,936,379.11915945280714,307.5687798153675,452.4059806514856
2014-04-13,0,359.4311573866789,290.08740424692905,444.4013501792517
2014-04-14,249,281.19688490145967,205.87935844448586,354.24095419503595
2014-04-15,253,289.43154188238265,219.89595131776775,368.0273030431244
2014-04-16,281,290.6814739591877,219.6065391307085,365.5257564633141
2014-04-17,273,289.7494467449714,213.2425150648043,360.2758212869506
2014-04-18,307,300.4468420482702,227.39557014303026,376.6923732053519
2014-04-19,442,373.9155961663108,297.005195921951,446.9299732136679
2014-04-20,401,353.2029714798572,281.41970364198016,427.95308253913396
2014-04-21,272,274.06024441624413,201.61118576090882,346.4631619158306
2014-04-22,266,281.52488394773275,204.32680581971093,355.54955622504633
2014-04-23,430,347.12777455511286,278.5837975765088,417.106525088572
2014-04-24,258,280.78320757937934,209.47990569850796,357.5915318968968
2014-04-25,268,291.2103937984488,215.5271615763969,364.4008552196429
2014-04-26,432,364.58567226811823,288.28475741198275,443.4083958470736
2014-04-27,310,343.95216158176885,266.9626752587738,419.07569214356784
2014-04-28,246,265.0517404952409,195.45604995289744,338.31016173540013
2014-04-29,237,272.90765265500806,193.36956676417682,345.11463283644486
2014-04-30,234,274.06535056186755,196.9363940534294,350.00887222145593
2014-05-01,102,338.28497427671317,269.088838545295,411.74001942630895
2014-05-02,301,284.45926945614895,207.97667972302827,356.0510866204262
2014-05-03,423,358.60593744062174,288.9116229600698,429.47468285216246
2014-05-04,351,338.773824482074,265.6516462999325,412.81928099734114
2014-05-05,258,260.6776506066841,182.54909008308076,332.4586018714466
2014-05-06,240,269.31461646470694,193.25273277762642,351.23842274979785
2014-05-07,260,271.2061629910809,196.44556575820832,347.6002675720467
2014-05-08,261,271.12432532466914,197.98178462981082,340.234308517429
2014-05-09,294,282.8451880585305,206.67228447262315,350.4560392371907
2014-05-10,431,357.47221747860334,284.9071998807474,432.5939595962522
2014-05-11,389,338.01251151515737,261.5186947364433,411.39245943486605
2014-05-12,210,260.1769987493128,189.6894468200264,337.47493684219813
2014-05-13,252,268.9641075463775,196.70418149884324,346.4275686439546
2014-05-14,207,270.901445629675,196.02597564053582,345.30226481222
2014-05-15,230,270.7718954020068,198.8939767444735,341.4769272783628
2014-05-16,256,282.36664040399603,209.25618885434062,356.4498451550679
2014-05-17,349,356.8079126200454,283.94512225554564,431.9793264854417
2014-05-18,397,337.1245207244959,261.01913762834425,415.614296895806
2014-05-19,269,324.018176212305,250.24274404728146,405.1814557937852
2014-05-20,248,267.611435702868,192.04462566380226,345.17937510686477
2014-05-21,226,269.35802314119684,199.8693687162408,346.8939393720941
2014-05-22,213,269.09831635246053,189.85856884610496,340.8479080688095
2014-05-23,229,280.64620140384653,206.30937002057175,359.4158149355825
2014-05-24,336,355.14392599021795,283.5917570586023,430.32517115141485
2014-05-25,280,335.6367755383428,262.9918158525345,415.49305306833634
2014-05-26,197,257.8716962612915,183.8868709898593,333.4479339809881
2014-05-27,223,266.87944134419223,192.85003591339768,345.00285408444665
2014-05-28,250,269.21483447487896,193.6292692941284,343.1677851516042
2014-05-29,201,269.68160695933943,197.14009160438613,343.23234695804086
2014-05-30,263,282.08437006580533,205.78988664931563,352.8905813335366
2014-05-31,291,357.55055232753944,283.1173010036659,431.6728013144477
2014-06-01,382,339.1053942929606,264.5117233964795,415.9797605268498
2014-06-02,221,262.4710797672809,187.5845725963998,335.96652526950385
2014-06-03,242,272.6495666128704,194.07169599405705,344.30079941440175
2014-06-04,281,276.1636922452745,198.22534145700953,346.9246306611609
2014-06-05,247,277.7829855329201,205.55833839022284,355.88536085688037
2014-06-06,277,291.27671746597645,219.4126937181593,369.0870766150576
2014-06-07,404,367.7369871717598,290.12546462335536,444.66620127508065
2014-06-08,414,350.15489972849724,279.294433893222,426.98476335826416
2014-06-09,301,274.2208770080537,203.18963400134965,351.78932530658136
2014-06-10,299,284.908626185094,207.2067782097464,355.26215528785934
2014-06-11,258,288.71730322697516,214.52730615047676,362.1575467566062
